rating,avg_score
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.84
PG-13 - Teens 13 or older,7.78
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.64
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.07
PG-13 - Teens 13 or older,8.85
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.09
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.96
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.81
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.41
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.76
PG-13 - Teens 13 or older,7.45
PG-13 - Teens 13 or older,5.91
PG-13 - Teens 13 or older,6.44
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.26
PG-13 - Teens 13 or older,7.47
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.71
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.11
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.32
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.47
PG-13 - Teens 13 or older,6.83
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,8.07
PG-13 - Teens 13 or older,6.01
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.71
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.67
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.06
PG-13 - Teens 13 or older,6.11
PG-13 - Teens 13 or older,6.66
PG-13 - Teens 13 or older,6.11
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.46
PG-13 - Teens 13 or older,8.87
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.34
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.79
PG-13 - Teens 13 or older,6.3
PG-13 - Teens 13 or older,7.6
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.48
PG-13 - Teens 13 or older,5.81
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.96
PG-13 - Teens 13 or older,6.52
PG-13 - Teens 13 or older,6.7
PG-13 - Teens 13 or older,6.7
PG-13 - Teens 13 or older,7.19
PG-13 - Teens 13 or older,6.66
PG-13 - Teens 13 or older,5.63
PG-13 - Teens 13 or older,5.89
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.93
PG-13 - Teens 13 or older,7.74
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.35
PG-13 - Teens 13 or older,5.48
PG-13 - Teens 13 or older,5.13
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.34
PG-13 - Teens 13 or older,6.36
PG-13 - Teens 13 or older,6.0
PG-13 - Teens 13 or older,7.68
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.13
PG-13 - Teens 13 or older,7.22
PG-13 - Teens 13 or older,5.46
PG-13 - Teens 13 or older,5.5
PG-13 - Teens 13 or older,6.04
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.32
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.8
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.97
PG-13 - Teens 13 or older,6.69
PG-13 - Teens 13 or older,7.43
PG-13 - Teens 13 or older,6.39
PG-13 - Teens 13 or older,7.34
PG-13 - Teens 13 or older,6.86
PG-13 - Teens 13 or older,7.23
PG-13 - Teens 13 or older,6.27
PG-13 - Teens 13 or older,8.25
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.91
PG-13 - Teens 13 or older,6.63
PG-13 - Teens 13 or older,6.37
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.43
PG-13 - Teens 13 or older,6.49
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.59
PG-13 - Teens 13 or older,7.2
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.16
PG-13 - Teens 13 or older,5.74
PG-13 - Teens 13 or older,7.66
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.26
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,8.72
PG-13 - Teens 13 or older,6.27
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.89
PG-13 - Teens 13 or older,6.8
PG-13 - Teens 13 or older,7.43
PG-13 - Teens 13 or older,8.36
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.82
PG-13 - Teens 13 or older,7.37
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.61
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.81
PG-13 - Teens 13 or older,7.03
PG-13 - Teens 13 or older,6.47
PG-13 - Teens 13 or older,5.07
PG-13 - Teens 13 or older,6.96
PG-13 - Teens 13 or older,6.18
PG-13 - Teens 13 or older,8.14
PG-13 - Teens 13 or older,5.31
PG-13 - Teens 13 or older,5.38
PG-13 - Teens 13 or older,5.87
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.91
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.77
PG-13 - Teens 13 or older,6.36
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.13
PG-13 - Teens 13 or older,8.45
PG-13 - Teens 13 or older,6.74
PG-13 - Teens 13 or older,5.98
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.42
PG-13 - Teens 13 or older,6.17
PG-13 - Teens 13 or older,6.0
PG-13 - Teens 13 or older,7.67
PG-13 - Teens 13 or older,6.36
PG-13 - Teens 13 or older,8.15
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.85
PG-13 - Teens 13 or older,5.44
PG-13 - Teens 13 or older,7.16
PG-13 - Teens 13 or older,6.73
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.56
PG-13 - Teens 13 or older,6.97
PG-13 - Teens 13 or older,6.41
PG-13 - Teens 13 or older,5.79
PG-13 - Teens 13 or older,6.48
PG-13 - Teens 13 or older,7.54
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.87
PG-13 - Teens 13 or older,6.62
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.68
PG-13 - Teens 13 or older,6.6
PG-13 - Teens 13 or older,7.31
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.96
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.95
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.39
PG-13 - Teens 13 or older,6.81
PG-13 - Teens 13 or older,6.37
PG-13 - Teens 13 or older,5.83
PG-13 - Teens 13 or older,5.99
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,5.89
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,7.27
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,6.22
PG-13 - Teens 13 or older,7.79
PG-13 - Teens 13 or older,-1.0
PG-13 - Teens 13 or older,8.08
PG-13 - Teens 13 or older,7.52
