user_id,scores_count
1,262
71,67
212,154
268,295
277,87
374,297
428,177
695,111
728,434
734,299
736,188
784,162
813,294
817,1226
995,155
1012,76
1080,70
1087,99
1100,187
1125,287
1197,154
1212,173
1240,28
1268,253
1285,51
1293,300
1337,136
1383,114
1395,284
1404,43
1437,250
1438,34
1458,74
1496,30
1500,31
1503,95
1554,470
1608,58
1621,166
1697,62
1739,27
1745,290
1782,1
1783,264
1803,1
1824,235
1846,4
1903,9
1925,267
1929,42
1944,30
1959,266
1961,60
1962,242
1966,283
2031,188
2157,4
2166,85
2173,282
2239,277
2257,8
2280,1
2299,413
2324,1052
2332,9
2333,36
2337,2
2359,6
2403,16
2546,130
2563,134
2565,254
2581,31
2610,95
2628,53
2655,25
2660,13
2710,34
2735,70
2754,76
2777,3
2803,11
2812,187
2882,345
2886,379
2889,37
2908,9
2915,30
2995,2
3025,9
3064,23
3081,6
3142,102
3172,174
3191,134
3257,39
3288,170
3308,4
3318,264
3342,270
3353,298
3355,37
3366,23
3385,50
3427,158
3438,76
3456,297
3516,157
3539,1
3550,4
3623,47
3646,1
3657,294
3693,3
3712,21
3730,131
3741,118
3750,927
3763,285
3764,34
3774,2
3786,106
3792,178
3832,47
3878,126
3886,1154
3935,19
3958,183
4007,466
4010,4
4038,217
4053,1
4095,5
4128,206
4137,685
4143,1
4209,41
4228,1
4244,3
4260,160
4281,108
4301,54
4317,2
4328,72
4408,107
4459,28
4514,266
4558,221
4560,56
4643,1245
4682,229
4703,50
4733,3
4768,2
4779,49
4794,294
4832,291
4860,43
4883,79
4946,1
4965,3
4967,12
5012,20
5041,10
5133,31
5150,136
5180,77
5188,83
5220,368
5222,18
5241,273
5267,297
5317,32
5331,1
5423,1
5457,50
5466,1
5526,1
5543,7
5569,1
5640,13
5645,82
5665,123
5698,67
5707,612
5715,53
5770,2
5774,88
5807,286
5854,25
5872,5
5921,291
5992,2
6016,59
6027,1
6058,64
6060,38
6067,7
6112,126
6129,298
6135,63
6140,2986
6142,5
6158,27
6160,29
6255,8
6288,2
6340,18
6343,10
6356,53
6357,159
6393,9
6471,144
6496,2
6497,68
6537,85
6579,284
6592,297
6628,103
6631,41
6647,37
6674,60
6716,18
6732,48
6744,28
6753,164
6770,14
6811,27
6848,21
6872,20
6889,91
6923,241
6986,51
7012,121
7053,34
7054,67
7085,1
7106,172
7121,46
7145,16
7164,425
7175,78
7204,17
7230,190
7234,53
7265,71
7286,48
7323,4
7343,11
7346,26
7376,15
7405,299
7422,39
7433,682
7456,3
7487,105
7518,153
7530,149
7562,43
7577,226
7624,5
7628,1
7653,30
7679,5
7681,3
7695,21
